vvento,N,ang_virab,pressao,VPP
"3,5","13,73","2,22866500","0,42575548","0,4750"
"3,5","13,73","2,24104647","0,44069973","0,4750"
"3,5","13,73","2,25342795","0,45585928","0,4750"
"3,5","13,73","2,26580942","0,47126874","0,4750"
"3,5","13,73","2,27819089","0,48691657","0,4750"
"3,5","13,73","2,29057236","0,50280277","0,4750"
"3,5","13,73","2,30295383","0,51888504","0,4750"
"3,5","13,73","2,31533531","0,53512495","0,4750"
"3,5","13,73","2,32771678","0,55151096","0,4750"
"3,5","13,73","2,34009825","0,56806228","0,4750"
"3,5","13,73","2,35247972","0,58477124","0,4750"
"3,5","13,73","2,36486120","0,60165321","0,4750"
"3,5","13,73","2,37724267","0,61864667","0,4750"
"3,5","13,73","2,38962414","0,63583237","0,4750"
"3,5","13,73","2,40200561","0,65320261","0,4750"
"3,5","13,73","2,41438708","0,67086505","0,4750"
"3,5","13,73","2,42676856","0,68890811","0,4750"
"3,5","13,73","2,43915003","0,70724337","0,4750"
"3,5","13,73","2,45153150","0,72592849","0,4750"
"3,5","13,73","2,46391297","0,74503268","0,4750"
"3,5","13,73","2,47629445","0,76449058","0,4750"
"3,5","13,73","2,48867592","0,78407151","0,4750"
"3,5","13,73","2,50105739","0,80379854","0,4750"
"3,5","13,73","2,51343886","0,82379085","0,4750"
"3,5","13,73","2,52582033","0,84389850","0,4750"
"3,5","13,73","2,53820181","0,86400615","0,4750"
"3,5","13,73","2,55058328","0,88424068","0,4750"
"3,5","13,73","2,56296475","0,90461361","0,4750"
"3,5","13,73","2,57534622","0,92505959","0,4750"
"3,5","13,73","2,58772770","0,94547482","0,4750"
"3,5","13,73","2,60010917","0,96600154","0,4750"
"3,5","13,73","2,61249064","0,98652057","0,4750"
"3,5","13,73","2,62487211","1,00694348","0,4750"
"3,5","13,73","2,63725358","1,02726644","0,4750"
"3,5","13,73","2,64963506","1,04752018","0,4750"
"3,5","13,73","2,66201653","1,06772011","0,4750"
"3,5","13,73","2,67439800","1,08778547","0,4750"
"3,5","13,73","2,68677947","1,10771626","0,4750"
"3,5","13,73","2,69916095","1,12759708","0,4750"
"3,5","13,73","2,71154242","1,14731257","0,4750"
"3,5","13,73","2,72392389","1,16685890","0,4750"
"3,5","13,73","2,73630536","1,18622837","0,4750"
"3,5","13,73","2,74868683","1,20534410","0,4750"
"3,5","13,73","2,76106831","1,22419454","0,4750"
"3,5","13,73","2,77344978","1,24277586","0,4750"
"3,5","13,73","2,78583125","1,26108804","0,4750"
"3,5","13,73","2,79821272","1,27911572","0,4750"
"3,5","13,73","2,81059420","1,29685121","0,4750"
"3,5","13,73","2,82297567","1,31426374","0,4750"
"3,5","13,73","2,83535714","1,33133026","0,4750"
"3,5","13,73","2,84773861","1,34800846","0,4750"
"3,5","13,73","2,86012008","1,36435986","0,4750"
"3,5","13,73","2,87250156","1,38030757","0,4750"
"3,5","13,73","2,88488303","1,39585928","0,4750"
"3,5","13,73","2,89726450","1,41099193","0,4750"
"3,5","13,73","2,90964597","1,42567090","0,4750"
"3,5","13,73","2,92202745","1,43990004","0,4750"
"3,5","13,73","2,93440892","1,45368704","0,4750"
"3,5","13,73","2,94679039","1,46700500","0,4750"
"3,5","13,73","2,95917186","1,47985775","0,4750"
"3,5","13,73","2,97155333","1,49221838","0,4750"
"3,5","13,73","2,98393481","1,50405998","0,4750"
"3,5","13,73","2,99631628","1,51535563","0,4750"
"3,5","13,73","3,00869775","1,52610919","0,4750"
"3,5","13,73","3,02107922","1,53619762","0,4750"
"3,5","13,73","3,03346070","1,54565167","0,4750"
"3,5","13,73","3,04584217","1,55438293","0,4750"
"3,5","13,73","3,05822364","1,56224145","0,4750"
"3,5","13,73","3,07060511","1,56939639","0,4750"
"3,5","13,73","3,08298659","1,57577470","0,4750"
"3,5","13,73","3,09536806","1,58144175","0,4750"
"3,5","13,73","3,10774953","1,58628220","0,4750"
"3,5","13,73","3,12013100","1,59043060","0,4750"
"3,5","13,73","3,13251247","1,59383699","0,4750"
"3,5","13,73","3,14489395","1,59636678","0,4750"
"3,5","13,73","3,15727542","1,59808535","0,4750"
"3,5","13,73","3,16965689","1,59911957","0,4750"
"3,5","13,73","3,18203836","1,59933103","0,4750"
"3,5","13,73","3,19441984","1,59867359","0,4750"
"3,5","13,73","3,20680131","1,59718954","0,4750"
"3,5","13,73","3,21918278","1,59488658","0,4750"
"3,5","13,73","3,23156425","1,59166859","0,4750"
"3,5","13,73","3,24394572","1,58756632","0,4750"
"3,5","13,73","3,25632720","1,58258362","0,4750"
"3,5","13,73","3,26870867","1,57672434","0,4750"
"3,5","13,73","3,28109014","1,56997309","0,4750"
"3,5","13,73","3,29347161","1,56244137","0,4750"
"3,5","13,73","3,30585309","1,55407536","0,4750"
"3,5","13,73","3,31823456","1,54489043","0,4750"
"3,5","13,73","3,33061603","1,53487120","0,4750"
"3,5","13,73","3,34299750","1,52405998","0,4750"
"3,5","13,73","3,35537897","1,51249135","0,4750"
"3,5","13,73","3,36776045","1,50009612","0,4750"
"3,5","13,73","3,38014192","1,48695502","0,4750"
"3,5","13,73","3,39252339","1,47308343","0,4750"
"3,5","13,73","3,40490486","1,45842753","0,4750"
"3,5","13,73","3,41728634","1,44299885","0,4750"
"3,5","13,73","3,42966781","1,42686275","0,4750"
"3,5","13,73","3,44204928","1,41001538","0,4750"
"3,5","13,73","3,45443075","1,39250673","0,4750"
"3,5","13,73","3,46681222","1,37431757","0,4750"
"3,5","13,73","3,47919370","1,35548635","0,4750"
"3,5","13,73","3,49157517","1,33597463","0,4750"
"3,5","13,73","3,50395664","1,31583622","0,4750"
"3,5","13,73","3,51633811","1,29509035","0,4750"
"3,5","13,73","3,52871959","1,27376778","0,4750"
"3,5","13,73","3,54110106","1,25191465","0,4750"
"3,5","13,73","3,55348253","1,22952326","0,4750"
"3,5","13,73","3,56586400","1,20664360","0,4750"
"3,5","13,73","3,57824547","1,18339485","0,4750"
"3,5","13,73","3,59062695","1,15971549","0,4750"
"3,5","13,73","3,60300842","1,13560169","0,4750"
"3,5","13,73","3,61538989","1,11109958","0,4750"
"3,5","13,73","3,62777136","1,08624760","0,4750"
"3,5","13,73","3,64015284","1,06109958","0,4750"
"3,5","13,73","3,65253431","1,03575163","0,4750"
"3,5","13,73","3,66491578","1,01021146","0,4750"
"3,5","13,73","3,67729725","0,98450211","0,4750"
"3,5","13,73","3,68967872","0,95873510","0,4750"
"3,5","13,73","3,70206020","0,93280661","0,4750"
"3,5","13,73","3,71444167","0,90679739","0,4750"
"3,5","13,73","3,72682314","0,88064591","0,4750"
"3,5","13,73","3,73920461","0,85448674","0,4750"
"3,5","13,73","3,75158609","0,82834295","0,4750"
"3,5","13,73","3,76396756","0,80224529","0,4750"
"3,5","13,73","3,77634903","0,77625913","0,4750"
"3,5","13,73","3,78873050","0,75042676","0,4750"
"3,5","13,73","3,80111197","0,72471742","0,4750"
"3,5","13,73","3,81349345","0,69918108","0,4750"
"3,5","13,73","3,82587492","0,67389850","0,4750"
"3,5","13,73","3,83825639","0,64885813","0,4750"
"3,5","13,73","3,85063786","0,62411765","0,4750"
"3,5","13,73","3,86301934","0,59971165","0,4750"
"3,5","13,73","3,87540081","0,57569781","0,4750"
"3,5","13,73","3,88778228","0,55213379","0,4750"
"3,5","13,73","3,90016375","0,52903114","0,4750"
"3,5","13,73","3,91254522","0,50641292","0,4750"
"3,5","13,73","3,92492670","0,48422914","0,4750"
"3,5","13,73","3,93730817","0,46251442","0,4750"
"3,5","13,73","3,94968964","0,44127259","0,4750"
"3,5","13,73","3,96207111","0,42047674","0,4750"
"3,5","13,73","3,97445259","0,40019223","0,4750"
"3,5","13,73","3,98683406","0,38034602","0,4750"
"3,5","13,73","3,99921553","0,36106498","0,4750"
"3,5","13,73","4,01159700","0,34231449","0,4750"
"3,5","13,73","4,02397847","0,32407920","0,4750"
"3,5","13,73","4,03635995","0,30644752","0,4750"
"3,5","13,73","4,04874142","0,28941176","0,4750"
"3,5","13,73","4,06112289","0,27294118","0,4750"
"3,5","13,73","4,07350436","0,25703191","0,4750"
"3,5","13,73","4,08588584","0,24166859","0,4750"
"3,5","13,73","4,09826731","0,22692810","0,4750"
"3,5","13,73","4,11064878","0,21279508","0,4750"
"3,5","13,73","4,12303025","0,19928489","0,4750"
"3,5","13,73","4,13541172","0,18638216","0,4750"
"3,5","13,73","4,14779320","0,17407920","0,4750"
"3,5","13,73","4,16017467","0,16232218","0,4750"
"3,5","13,73","4,17255614","0,15113033","0,4750"
"3,5","13,73","4,18493761","0,14050750","0,4750"
"3,5","13,73","4,19731909","0,13042291","0,4750"
"3,5","13,73","4,20970056","0,12077662","0,4750"
"3,5","13,73","4,22208203","0,11164937","0,4750"
"3,5","13,73","4,23446350","0,10305267","0,4750"
"3,5","13,73","4,24684497","0,09496732","0,4750"
"3,5","13,73","4,25922645","0,08737409","0,4750"
"3,5","13,73","4,27160792","0,08024606","0,4750"
"3,5","13,73","4,28398939","0,07355248","0,4750"
"3,5","13,73","4,29637086","0,06727413","0,4750"
"3,5","13,73","4,30875234","0,06141100","0,4750"
"3,5","13,73","4,32113381","0,05593233","0,4750"
"3,5","13,73","4,33351528","0,05085352","0,4750"
"3,5","13,73","4,34589675","0,04613610","0,4750"
"3,5","13,73","4,35827822","0,04177624","0,4750"
"3,5","13,73","4,37065970","0,03774702","0,4750"
