vvento,N,ang_virab,pressao,VPP
"3,5","13,73","3,09701545","1,57539792","0,4750"
"3,5","13,73","3,10939693","1,57743560","0,4750"
"3,5","13,73","3,12177840","1,57874279","0,4750"
"3,5","13,73","3,13415987","1,57927720","0,4750"
"3,5","13,73","3,14654134","1,57905805","0,4750"
"3,5","13,73","3,15892281","1,57811995","0,4750"
"3,5","13,73","3,17130429","1,57652441","0,4750"
"3,5","13,73","3,18368576","1,57412918","0,4750"
"3,5","13,73","3,19606723","1,57089581","0,4750"
"3,5","13,73","3,20844870","1,56686659","0,4750"
"3,5","13,73","3,22083018","1,56184544","0,4750"
"3,5","13,73","3,23321165","1,55574779","0,4750"
"3,5","13,73","3,24559312","1,54864667","0,4750"
"3,5","13,73","3,25797459","1,54053441","0,4750"
"3,5","13,73","3,27035606","1,53141484","0,4750"
"3,5","13,73","3,28273754","1,52134564","0,4750"
"3,5","13,73","3,29511901","1,51036909","0,4750"
"3,5","13,73","3,30750048","1,49847751","0,4750"
"3,5","13,73","3,31988195","1,48573626","0,4750"
"3,5","13,73","3,33226343","1,47214917","0,4750"
"3,5","13,73","3,34464490","1,45765475","0,4750"
"3,5","13,73","3,35702637","1,44220684","0,4750"
"3,5","13,73","3,36940784","1,42595540","0,4750"
"3,5","13,73","3,38178931","1,40891965","0,4750"
"3,5","13,73","3,39417079","1,39106498","0,4750"
"3,5","13,73","3,40655226","1,37246059","0,4750"
"3,5","13,73","3,41893373","1,35309881","0,4750"
"3,5","13,73","3,43131520","1,33303345","0,4750"
"3,5","13,73","3,44369668","1,31264514","0,4750"
"3,5","13,73","3,45607815","1,29161092","0,4750"
"3,5","13,73","3,46845962","1,27000384","0,4750"
"3,5","13,73","3,48084109","1,24780854","0,4750"
"3,5","13,73","3,49322256","1,22508266","0,4750"
"3,5","13,73","3,50560404","1,20168012","0,4750"
"3,5","13,73","3,51798551","1,17769319","0,4750"
"3,5","13,73","3,53036698","1,15334102","0,4750"
"3,5","13,73","3,54274845","1,12860438","0,4750"
"3,5","13,73","3,55512993","1,10364475","0,4750"
"3,5","13,73","3,56751140","1,07841599","0,4750"
"3,5","13,73","3,57989287","1,05286428","0,4750"
"3,5","13,73","3,59227434","1,02710111","0,4750"
"3,5","13,73","3,60465581","1,00111111","0,4750"
"3,5","13,73","3,61703729","0,97489812","0,4750"
"3,5","13,73","3,62941876","0,94850442","0,4750"
"3,5","13,73","3,64180023","0,92201845","0,4750"
"3,5","13,73","3,65418170","0,89545944","0,4750"
"3,5","13,73","3,66656318","0,86881584","0,4750"
"3,5","13,73","3,67894465","0,84220684","0,4750"
"3,5","13,73","3,69132612","0,81568627","0,4750"
"3,5","13,73","3,70370759","0,78926567","0,4750"
"3,5","13,73","3,71608906","0,76296040","0,4750"
"3,5","13,73","3,72847054","0,73681661","0,4750"
"3,5","13,73","3,74085201","0,71085352","0,4750"
"3,5","13,73","3,75323348","0,68512111","0,4750"
"3,5","13,73","3,76561495","0,65966936","0,4750"
"3,5","13,73","3,77799643","0,63452518","0,4750"
"3,5","13,73","3,79037790","0,60968089","0,4750"
"3,5","13,73","3,80275937","0,58512111","0,4750"
"3,5","13,73","3,81514084","0,56094963","0,4750"
"3,5","13,73","3,82752231","0,53724337","0,4750"
"3,5","13,73","3,83990379","0,51399077","0,4750"
"3,5","13,73","3,85228526","0,49121492","0,4750"
"3,5","13,73","3,86466673","0,46886198","0,4750"
"3,5","13,73","3,87704820","0,44698577","0,4750"
"3,5","13,73","3,88942968","0,42559400","0,4750"
"3,5","13,73","3,90181115","0,40473664","0,4750"
"3,5","13,73","3,91419262","0,38440984","0,4750"
"3,5","13,73","3,92657409","0,36467897","0,4750"
"3,5","13,73","3,93895556","0,34545559","0,4750"
"3,5","13,73","3,95133704","0,32675894","0,4750"
"3,5","13,73","3,96371851","0,30865052","0,4750"
"3,5","13,73","3,97609998","0,29114571","0,4750"
"3,5","13,73","3,98848145","0,27430219","0,4750"
"3,5","13,73","4,00086293","0,25805459","0,4750"
"3,5","13,73","4,01324440","0,24238370","0,4750"
"3,5","13,73","4,02562587","0,22738562","0,4750"
"3,5","13,73","4,03800734","0,21302191","0,4750"
"3,5","13,73","4,05038881","0,19926182","0,4750"
"3,5","13,73","4,06277029","0,18611688","0,4750"
"3,5","13,73","4,07515176","0,17341407","0,4750"
"3,5","13,73","4,08753323","0,16131103","0,4750"
"3,5","13,73","4,09991470","0,14979623","0,4750"
"3,5","13,73","4,11229618","0,13888504","0,4750"
"3,5","13,73","4,12467765","0,12853902","0,4750"
"3,5","13,73","4,13705912","0,11881584","0,4750"
"3,5","13,73","4,14944059","0,10968474","0,4750"
"3,5","13,73","4,16182206","0,10108420","0,4750"
"3,5","13,73","4,17420354","0,09294887","0,4750"
"3,5","13,73","4,18658501","0,08523645","0,4750"
"3,5","13,73","4,19896648","0,07797386","0,4750"
"3,5","13,73","4,21134795","0,07119185","0,4750"
"3,5","13,73","4,22372943","0,06482122","0,4750"
"3,5","13,73","4,23611090","0,05887735","0,4750"
"3,5","13,73","4,24849237","0,05337178","0,4750"
"3,5","13,73","4,26087384","0,04827759","0,4750"
"3,5","13,73","4,27325532","0,04354864","0,4750"
"3,5","13,73","4,28563679","0,03917339","0,4750"
"3,5","13,73","4,29801826","0,03515955","0,4750"
"3,5","13,73","4,31039973","0,03146098","0,4750"
"3,5","13,73","4,32278120","0,02806613","0,4750"
"3,5","13,73","4,33516268","0,02499423","0,4750"
"3,5","13,73","4,34754415","0,02222222","0,4750"
"3,5","13,73","4,35992562","0,01970012","0,4750"
"3,5","13,73","4,37230709","0,01742791","0,4750"
"3,5","13,73","4,38468857","0,01537870","0,4750"
"3,5","13,73","4,39707004","0,01353326","0,4750"
"3,5","13,73","4,40945151","0,01187236","0,4750"
"3,5","13,73","4,42183298","0,01039985","0,4750"
"3,5","13,73","4,43421445","0,00910804","0,4750"
"3,5","13,73","4,44659593","0,00797386","0,4750"
"3,5","13,73","4,45897740","0,00695117","0,4750"
"3,5","13,73","4,47135887","0,00603998","0,4750"
"3,5","13,73","4,48374034","0,00522876","0,4750"
"3,5","13,73","4,49612182","0,00455978","0,4750"
"3,5","13,73","4,50850329","0,00397924","0,4750"
"3,5","13,73","4,52088476","0,00349865","0,4750"
"3,5","13,73","4,53326623","0,00309881","0,4750"
"3,5","13,73","4,54564770","0,00277201","0,4750"
"3,5","13,73","4,55802918","0,00248366","0,4750"
"3,5","13,73","4,57041065","0,00228374","0,4750"
"3,5","13,73","4,58279212","0,00215302","0,4750"
"3,5","13,73","4,59517359","0,00207228","0,4750"
"3,5","13,73","4,60755507","0,00204152","0,4750"
"3,5","13,73","4,61993654","0,00203768","0,4750"
"3,5","13,73","4,63231801","0,00205690","0,4750"
"3,5","13,73","4,64469948","0,00210688","0,4750"
"3,5","13,73","4,65708095","0,00215686","0,4750"
"3,5","13,73","4,66946243","0,00220684","0,4750"
"3,5","13,73","4,68184390","0,00227220","0,4750"
"3,5","13,73","4,69422537","0,00233756","0,4750"
"3,5","13,73","4,70660684","0,00240292","0,4750"
"3,5","13,73","4,71898832","0,00246828","0,4750"
"3,5","13,73","4,73136979","0,00253364","0,4750"
"3,5","13,73","4,74375126","0,00259900","0,4750"
"3,5","13,73","4,75613273","0,00266436","0,4750"
"3,5","13,73","4,76851420","0,00272972","0,4750"
"3,5","13,73","4,78089568","0,00279508","0,4750"
"3,5","13,73","4,79327715","0,00280661","0,4750"
"3,5","13,73","4,80565862","0,00281815","0,4750"
"3,5","13,73","4,81804009","0,00282968","0,4750"
"3,5","13,73","4,83042157","0,00284121","0,4750"
"3,5","13,73","4,84280304","0,00285275","0,4750"
"3,5","13,73","4,85518451","0,00286428","0,4750"
"3,5","13,73","4,86756598","0,00287582","0,4750"
"3,5","13,73","4,87994745","0,00288735","0,4750"
"3,5","13,73","4,89232893","0,00293733","0,4750"
"3,5","13,73","4,90471040","0,00298731","0,4750"
"3,5","13,73","4,91709187","0,00303729","0,4750"
"3,5","13,73","4,92947334","0,00308727","0,4750"
"3,5","13,73","4,94185482","0,00313725","0,4750"
